city1,city2,start,end,carrier_lg
"Las Vegas, NV","Richmond, VA",2014-04-01,2014-07-01,FL
"Las Vegas, NV","Richmond, VA",2014-07-01,2015-01-01,DL
"Las Vegas, NV","Richmond, VA",2015-01-01,2015-07-01,US
"Las Vegas, NV","Richmond, VA",2015-07-01,2016-01-01,AA
"Las Vegas, NV","Richmond, VA",2016-04-01,2016-10-01,AA
"Las Vegas, NV","Richmond, VA",2017-01-01,2017-04-01,AA
"Las Vegas, NV","Richmond, VA",2017-04-01,2017-07-01,WN
"Las Vegas, NV","Richmond, VA",2017-07-01,2018-04-01,AA
"Hartford, CT","Houston, TX",2008-01-01,2008-04-01,US
"Hartford, CT","Houston, TX",2008-04-01,2010-01-01,CO
"Hartford, CT","Houston, TX",2010-04-01,2010-07-01,CO
"Hartford, CT","Houston, TX",2010-07-01,2012-01-01,WN
"Hartford, CT","Houston, TX",2012-01-01,2013-07-01,UA
"Hartford, CT","Houston, TX",2014-04-01,2015-04-01,WN
"Hartford, CT","Houston, TX",2015-04-01,2016-01-01,UA
"Hartford, CT","Houston, TX",2016-04-01,2017-04-01,UA
"Hartford, CT","Houston, TX",2017-10-01,2018-07-01,UA
"Phoenix, AZ","Tulsa, OK",2008-01-01,2011-07-01,WN
"Phoenix, AZ","Tulsa, OK",2011-10-01,2014-07-01,WN
"Phoenix, AZ","Tulsa, OK",2014-10-01,2015-07-01,WN
"Phoenix, AZ","Tulsa, OK",2015-10-01,2016-04-01,WN
"Phoenix, AZ","Tulsa, OK",2016-10-01,2017-07-01,WN
"Phoenix, AZ","Tulsa, OK",2017-10-01,2018-04-01,WN
"Little Rock, AR","Washington, DC (Metropolitan Area)",2008-01-01,2009-01-01,WN
"Little Rock, AR","Washington, DC (Metropolitan Area)",2009-01-01,2009-04-01,DL
"Little Rock, AR","Washington, DC (Metropolitan Area)",2009-04-01,2010-01-01,WN
"Little Rock, AR","Washington, DC (Metropolitan Area)",2010-01-01,2011-04-01,DL
"Little Rock, AR","Washington, DC (Metropolitan Area)",2011-04-01,2011-07-01,WN
"Little Rock, AR","Washington, DC (Metropolitan Area)",2011-07-01,2012-07-01,DL
"Little Rock, AR","Washington, DC (Metropolitan Area)",2012-07-01,2013-04-01,US
