"","AIDS.Report.Number","Aircraft.Damage","Primary.Flight.Type"
"19356","19800328032779I","MINOR","SCHEDULED AIR CARRIER"
"19357","19800328033142I","MINOR","PERSONAL"
"19358","19800329042979I","MINOR","SCHEDULED AIR CARRIER"
"19359","19800330042819I","MINOR","SCHEDULED AIR CARRIER"
"19360","19800330042849I","MINOR","SCHEDULED AIR CARRIER"
"19361","19800403047309I","MINOR","BUSINESS"
"19362","19800403047369I","MINOR","SCHEDULED AIR CARRIER"
"19363","19800403047489I","MINOR","SCHEDULED AIR CARRIER"
"19364","19800404047579I","MINOR","PERSONAL"
"19365","19800405045849I","MINOR","PERSONAL"
"19366","19800406047139I","MINOR","PERSONAL"
"19367","19800406047189I","MINOR","SCHEDULED AIR CARRIER"
"19368","19800406047689I","MINOR","PERSONAL"
"19369","19800407047239I","MINOR","SCHEDULED AIR CARRIER"
"19370","19800408047989I","MINOR","SCHEDULED AIR CARRIER"
"19371","19800409048259I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19372","19800410050249I","MINOR","SCHEDULED AIR CARRIER"
"19373","19800415050919I","MINOR","PERSONAL"
"19374","19800417049339I","MINOR","PERSONAL"
"19375","19800417049359I","MINOR","SCHEDULED AIR CARRIER"
"19376","19800418045369I","MINOR","SCHEDULED AIR CARRIER"
"19377","19800418046159I","MINOR","PERSONAL"
"19378","19800419039849I","MINOR","PERSONAL"
"19379","19800419039959I","MINOR","PERSONAL"
"19380","19800420044609I","SUBSTANTIAL","PERSONAL"
"19381","19800421049509I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19382","19800422045589I","MINOR","SCHEDULED AIR CARRIER"
"19383","19800422049889I","MINOR","SCHEDULED AIR CARRIER"
"19384","19800422049929I","MINOR","PERSONAL"
"19385","19800422050449I","MINOR","SCHEDULED AIR CARRIER"
"19386","19800425046219I","MINOR","SCHEDULED AIR CARRIER"
"19387","19800429045049I","MINOR","SCHEDULED AIR CARRIER"
"19388","19800430046759I","MINOR","AIR TAXI"
"19389","19800502043889I","MINOR","PERSONAL"
"19390","19800502045249I","MINOR","SCHEDULED AIR CARRIER"
"19391","19800505050849I","MINOR","SCHEDULED AIR CARRIER"
"19392","19800506050899I","MINOR","SCHEDULED AIR CARRIER"
"19393","19800509051799I","MINOR","SCHEDULED AIR CARRIER"
"19394","19800509051829I","MINOR","BUSINESS"
"19395","19800511090139I","MINOR","PERSONAL"
"19396","19800512090802I","MINOR","SCHEDULED AIR CARRIER"
"19397","19800513053569I","MINOR","SCHEDULED AIR CARRIER"
"19398","19800516054199I","MINOR","SCHEDULED AIR CARRIER"
"19399","19800518083649I","MINOR","SCHEDULED AIR CARRIER"
"19400","19800521053639I","MINOR","SCHEDULED AIR CARRIER"
"19401","19800522052849I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19402","19800523053119I","SUBSTANTIAL","PERSONAL"
"19403","19800527051459I","MINOR","SCHEDULED AIR CARRIER"
"19404","19800530052039I","MINOR","SCHEDULED AIR CARRIER"
"19405","19800602052549I","MINOR","ILLEGAL"
"19406","19800602052559I","MINOR","SCHEDULED AIR CARRIER"
"19407","19800603053879I","MINOR","PERSONAL"
"19408","19800604054969I","MINOR","SCHEDULED AIR CARRIER"
"19409","19800605046059I","MINOR","SCHEDULED AIR CARRIER"
"19410","19800606055609I","MINOR","PERSONAL"
"19411","19800606055659I","MINOR","PERSONAL"
"19412","19800606055719I","MINOR","PERSONAL"
"19413","19800606055729I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19414","19800607090369I","MINOR","PERSONAL"
"19415","19800608054781I","MINOR","PERSONAL"
"19416","19800614053149I","MINOR","SCHEDULED AIR CARRIER"
"19417","19800616054629I","MINOR","SCHEDULED AIR CARRIER"
"19418","19800617054859I","DESTROYED","PERSONAL"
"19419","19800617054989I","MINOR","SCHEDULED AIR CARRIER"
"19420","19800617055029I","MINOR","SCHEDULED AIR CARRIER"
"19421","19800618055119I","MINOR","SCHEDULED AIR CARRIER"
"19422","19800618090509I","SUBSTANTIAL","AIR TAXI"
"19423","19800622077469I","SUBSTANTIAL","PERSONAL"
"19424","19800624056439I","MINOR","SCHEDULED AIR CARRIER"
"19425","19800625048859I","MINOR","SCHEDULED AIR CARRIER"
"19426","19800626049029I","MINOR","SCHEDULED AIR CARRIER"
"19427","19800627056509I","MINOR","PERSONAL"
"19428","19800629056689I","MINOR","PERSONAL"
"19429","19800629056739I","MINOR","SCHEDULED AIR CARRIER"
"19430","19800629056799I","MINOR","SCHEDULED AIR CARRIER"
"19431","19800704059239I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19432","19800704059489I","MINOR","PERSONAL"
"19433","19800705069039I","MINOR","SCHEDULED AIR CARRIER"
"19434","19800706059789I","MINOR","PERSONAL"
"19435","19800708060069I","MINOR","BUSINESS"
"19436","19800708060169I","MINOR","PERSONAL"
"19437","19800709060249I","MINOR","SCHEDULED AIR CARRIER"
"19438","19800709068949I","MINOR","SCHEDULED AIR CARRIER"
"19439","19800710060379I","MINOR","PERSONAL"
"19440","19800710068889I","MINOR","BUSINESS"
"19441","19800711060289I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19442","19800712060499I","MINOR","ILLEGAL"
"19443","19800713060599I","MINOR","SCHEDULED AIR CARRIER"
"19444","19800713060919I","MINOR","SCHEDULED AIR CARRIER"
"19445","19800716061199I","MINOR","PERSONAL"
"19446","19800717060909I","MINOR","ILLEGAL"
"19447","19800719088539I","SUBSTANTIAL","ILLEGAL"
"19448","19800722062279I","MINOR","SCHEDULED AIR CARRIER"
"19449","19800723062469I","DESTROYED","PERSONAL"
"19450","19800728077479I","MINOR","PERSONAL"
"19451","19800731063179I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19452","19800731083502I","MINOR","PERSONAL"
"19453","19800802067669I","MINOR","PERSONAL"
"19454","19800803066859I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19455","19800804090419I","SUBSTANTIAL","AIR TAXI"
"19456","19800809068489I","MINOR","SCHEDULED AIR CARRIER"
"19457","19800810077019I","MINOR","PERSONAL"
"19458","19800811064599I","MINOR","SCHEDULED AIR CARRIER"
"19459","19800815066639I","MINOR","PERSONAL"
"19460","19800816066939I","MINOR","SCHEDULED AIR CARRIER"
"19461","19800817067329I","MINOR","SCHEDULED AIR CARRIER"
"19462","19800817067429I","MINOR","PERSONAL"
"19463","19800817086569I","MINOR","PERSONAL"
"19464","19800822066099I","MINOR","SCHEDULED AIR CARRIER"
"19465","19800822082669I","MINOR","PERSONAL"
"19466","19800823066259I","MINOR","SCHEDULED AIR CARRIER"
"19467","19800825066279I","MINOR","SCHEDULED AIR CARRIER"
"19468","19800830081969I","MINOR","SCHEDULED AIR CARRIER"
"19469","19800830082299I","SUBSTANTIAL","PERSONAL"
"19470","19800902068259I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19471","19800903082329I","MINOR","SCHEDULED AIR CARRIER"
"19472","19800903084319I","MINOR","AIR TAXI"
"19473","19800905069159I","MINOR","SCHEDULED AIR CARRIER"
"19474","19800907069529I","MINOR","BUSINESS"
"19475","19800907069559I","MINOR","PERSONAL"
"19476","19800913070439I","MINOR","PERSONAL"
"19477","19800916068439I","MINOR","SCHEDULED AIR CARRIER"
"19478","19800916068789I","MINOR","SCHEDULED AIR CARRIER"
"19479","19800918068999I","MINOR","BUSINESS"
"19480","19800920069609I","MINOR","PERSONAL"
"19481","19800922070739I","MINOR","SCHEDULED AIR CARRIER"
"19482","19800924070799I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19483","19800926071209I","MINOR","SCHEDULED AIR CARRIER"
"19484","19800926071339I","MINOR","PERSONAL"
"19485","19800927071479I","MINOR","SCHEDULED AIR CARRIER"
"19486","19800928071649I","MINOR","SCHEDULED AIR CARRIER"
"19487","19801001072119I","MINOR","SCHEDULED AIR CARRIER"
"19488","19801003072499I","MINOR","ILLEGAL"
"19489","19801003077729I","MINOR","SCHEDULED AIR CARRIER"
"19490","19801003084859I","SUBSTANTIAL","PERSONAL"
"19491","19801004072629I","MINOR","SCHEDULED AIR CARRIER"
"19492","19801005072819I","MINOR","PERSONAL"
"19493","19801009073419I","MINOR","SCHEDULED AIR CARRIER"
"19494","19801011073779I","MINOR","PERSONAL"
"19495","19801012073849I","SUBSTANTIAL","PERSONAL"
"19496","19801014074179I","MINOR","SCHEDULED AIR CARRIER"
"19497","19801015077759I","MINOR","SCHEDULED AIR CARRIER"
"19498","19801016081909I","MINOR","SCHEDULED AIR CARRIER"
"19499","19801022083559I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19500","19801023075579I","MINOR","SCHEDULED AIR CARRIER"
"19501","19801023075709I","MINOR","SCHEDULED AIR CARRIER"
"19502","19801025076069I","MINOR","SCHEDULED AIR CARRIER"
"19503","19801026075989I","MINOR","PERSONAL"
"19504","19801026076019I","MINOR","SCHEDULED AIR CARRIER"
"19505","19801026076049I","MINOR","SCHEDULED AIR CARRIER"
"19506","19801027076559I","MINOR","SCHEDULED AIR CARRIER"
"19507","19801029076749I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19508","19801030076839I","MINOR","SCHEDULED AIR CARRIER"
"19509","19801031076909I","MINOR","SCHEDULED AIR CARRIER"
"19510","19801102078809I","MINOR","PERSONAL"
"19511","19801106079089I","MINOR","PERSONAL"
"19512","19801106083389I","SUBSTANTIAL","ILLEGAL"
"19513","19801106084579I","MINOR","PERSONAL"
"19514","19801109083169I","MINOR","ILLEGAL"
"19515","19801110079429I","SUBSTANTIAL","PERSONAL"
"19516","19801112079589I","MINOR","SCHEDULED AIR CARRIER"
"19517","19801113079609I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19518","19801115079829I","MINOR","SCHEDULED AIR CARRIER"
"19519","19801115079839I","MINOR","SCHEDULED AIR CARRIER"
"19520","19801116079919I","MINOR","PERSONAL"
"19521","19801118080329I","MINOR","SCHEDULED AIR CARRIER"
"19522","19801118080369I","MINOR","SCHEDULED AIR CARRIER"
"19523","19801123087129I","MINOR","PERSONAL"
"19524","19801125080209I","MINOR","SCHEDULED AIR CARRIER"
"19525","19801202085789I","MINOR","SCHEDULED AIR CARRIER"
"19526","19801202088609I","MINOR","ILLEGAL"
"19527","19801203085919I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19528","19801205085579I","MINOR","SCHEDULED AIR CARRIER"
"19529","19801207088929I","MINOR","PERSONAL"
"19530","19801208085659I","MINOR","SCHEDULED AIR CARRIER"
"19531","19801211086199I","MINOR","SCHEDULED AIR CARRIER"
"19532","19801214083519I","MINOR","SCHEDULED AIR CARRIER"
"19533","19801214088679I","MINOR","BUSINESS"
"19534","19801215084619I","MINOR","SCHEDULED AIR CARRIER"
"19535","19801216085509I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19536","19801216085529I","MINOR","SCHEDULED AIR CARRIER"
"19537","19801216087639I","SUBSTANTIAL","PERSONAL"
"19538","19801222085229I","MINOR","SCHEDULED AIR CARRIER"
"19539","19801226086269I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19540","19801229086189I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19541","19801230084439I","MINOR","PERSONAL"
"19542","19801230088229I","MINOR","SCHEDULED AIR CARRIER"
"19543","19801231089639I","MINOR","ILLEGAL"
"19544","19810101004979I","MINOR","PERSONAL"
"19545","19810102007099I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19546","19810102007189I","MINOR","SCHEDULED AIR CARRIER"
"19547","19810105007009I","MINOR","SCHEDULED AIR CARRIER"
"19548","19810107001119I","NONE","SCHEDULED AIR CARRIER"
"19549","19810114005709I","MINOR","SCHEDULED AIR CARRIER"
"19550","19810115007779I","MINOR","PERSONAL"
"19551","19810115012559I","MINOR","AIR TAXI"
"19552","19810117006529I","MINOR","SCHEDULED AIR CARRIER"
"19553","19810117007029I","NONE","SCHEDULED AIR CARRIER"
"19554","19810118070569I","MINOR","PERSONAL"
"19555","19810119005699I","MINOR","SCHEDULED AIR CARRIER"
"19556","19810120006559I","NONE","AIR TAXI"
"19557","19810120007719I","MINOR","PERSONAL"
"19558","19810120089329I","SUBSTANTIAL","PERSONAL"
"19559","19810122006689I","MINOR","SCHEDULED AIR CARRIER"
"19560","19810123008229I","MINOR","SCHEDULED AIR CARRIER"
"19561","19810125006289I","SUBSTANTIAL","ILLEGAL"
"19562","19810125006509I","NONE","SCHEDULED AIR CARRIER"
"19563","19810125006549I","NONE","SCHEDULED AIR CARRIER"
"19564","19810128006839I","MINOR","SCHEDULED AIR CARRIER"
"19565","19810129006039I","MINOR","ILLEGAL"
"19566","19810201013589I","MINOR","BUSINESS"
"19567","19810204016369I","MINOR","PERSONAL"
"19568","19810205011729I","MINOR","PERSONAL"
"19569","19810212024979I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19570","19810214019699I","MINOR","PERSONAL"
"19571","19810215066069I","MINOR","PERSONAL"
"19572","19810216009359I","MINOR","PERSONAL"
"19573","19810219011399I","MINOR","SCHEDULED AIR CARRIER"
"19574","19810221028869I","MINOR","PERSONAL"
"19575","19810222013379I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19576","19810222017249I","MINOR","ILLEGAL"
"19577","19810223013719I","MINOR","SCHEDULED AIR CARRIER"
"19578","19810226012569I","MINOR","SCHEDULED AIR CARRIER"
"19579","19810227013919I","MINOR","PERSONAL"
"19580","19810301021439I","MINOR","PERSONAL"
"19581","19810303020229I","MINOR","SCHEDULED AIR CARRIER"
"19582","19810304016939I","MINOR","SCHEDULED AIR CARRIER"
"19583","19810304016949I","MINOR","SCHEDULED AIR CARRIER"
"19584","19810304021299I","MINOR","SCHEDULED AIR CARRIER"
"19585","19810305013909I","MINOR","SCHEDULED AIR CARRIER"
"19586","19810307024159I","DESTROYED","ILLEGAL"
"19587","19810308013789I","MINOR","SCHEDULED AIR CARRIER"
"19588","19810308025989I","MINOR","ILLEGAL"
"19589","19810309025409I","MINOR","PERSONAL"
"19590","19810313024969I","MINOR","SCHEDULED AIR CARRIER"
"19591","19810315025039I","MINOR","BUSINESS"
"19592","19810316017379I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19593","19810321019389I","MINOR","SCHEDULED AIR CARRIER"
"19594","19810321026309I","MINOR","PERSONAL"
"19595","19810329019519I","MINOR","SCHEDULED AIR CARRIER"
"19596","19810329019539I","MINOR","PERSONAL"
"19597","19810329019759I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19598","19810329030379I","MINOR","SCHEDULED AIR CARRIER"
"19599","19810329042559I","MINOR","PERSONAL"
"19600","19810407024679I","MINOR","SCHEDULED AIR CARRIER"
"19601","19810410028789I","MINOR","PERSONAL"
"19602","19810410030169I","MINOR","SCHEDULED AIR CARRIER"
"19603","19810417090229I","MINOR","SCHEDULED AIR CARRIER"
"19604","19810420024629I","MINOR","SCHEDULED AIR CARRIER"
"19605","19810420026259I","MINOR","SCHEDULED AIR CARRIER"
"19606","19810421025639I","MINOR","PERSONAL"
"19607","19810424033579I","MINOR","ILLEGAL"
"19608","19810425029649I","MINOR","BUSINESS"
"19609","19810428029759I","MINOR","SCHEDULED AIR CARRIER"
"19610","19810508029439I","MINOR","SCHEDULED AIR CARRIER"
"19611","19810508029459I","MINOR","PERSONAL"
"19612","19810509042529I","MINOR","PERSONAL"
"19613","19810510030909I","MINOR","PERSONAL"
"19614","19810511029979I","MINOR","SCHEDULED AIR CARRIER"
"19615","19810513034319I","MINOR","PERSONAL"
"19616","19810514034909I","MINOR","SCHEDULED AIR CARRIER"
"19617","19810518031089I","MINOR","SCHEDULED AIR CARRIER"
"19618","19810524033279I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19619","19810525034529I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19620","19810525037329I","MINOR","PERSONAL"
"19621","19810529034169I","MINOR","SCHEDULED AIR CARRIER"
"19622","19810529052479I","MINOR","SCHEDULED AIR CARRIER"
"19623","19810530034369I","MINOR","PERSONAL"
"19624","19810601039109I","MINOR","AIR TAXI"
"19625","19810602040209I","MINOR","SCHEDULED AIR CARRIER"
"19626","19810602056169I","MINOR","SCHEDULED AIR CARRIER"
"19627","19810603039849I","MINOR","SCHEDULED AIR CARRIER"
"19628","19810605039879I","MINOR","SCHEDULED AIR CARRIER"
"19629","19810606039719I","MINOR","PERSONAL"
"19630","19810607037389I","NONE","SCHEDULED AIR CARRIER"
"19631","19810608048009I","MINOR","AIR TAXI"
"19632","19810610040059I","MINOR","SCHEDULED AIR CARRIER"
"19633","19810611037239I","NONE","SCHEDULED AIR CARRIER"
"19634","19810612044759I","MINOR","PERSONAL"
"19635","19810615033389I","DESTROYED","ILLEGAL"
"19636","19810616040039I","MINOR","SCHEDULED AIR CARRIER"
"19637","19810616063989I","SUBSTANTIAL","PERSONAL"
"19638","19810617042379I","MINOR","SCHEDULED AIR CARRIER"
"19639","19810620068699I","MINOR","PERSONAL"
"19640","19810621034499I","MINOR","PERSONAL"
"19641","19810622042639I","MINOR","SCHEDULED AIR CARRIER"
"19642","19810623043219I","MINOR","PERSONAL"
"19643","19810624043129I","MINOR","SCHEDULED AIR CARRIER"
"19644","19810625045579I","MINOR","PERSONAL"
"19645","19810626052209I","MINOR","PERSONAL"
"19646","19810626054489I","MINOR","SCHEDULED AIR CARRIER"
"19647","19810628044749I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19648","19810629048699I","MINOR","PERSONAL"
"19649","19810629054929I","MINOR","SCHEDULED AIR CARRIER"
"19650","19810630064709I","SUBSTANTIAL","PERSONAL"
"19651","19810705089579I","MINOR","PERSONAL"
"19652","19810707044459I","MINOR","SCHEDULED AIR CARRIER"
"19653","19810708038999I","MINOR","PERSONAL"
"19654","19810708044549I","MINOR","SCHEDULED AIR CARRIER"
"19655","19810711052489I","MINOR","SCHEDULED AIR CARRIER"
"19656","19810711056939I","MINOR","PERSONAL"
"19657","19810712058649I","MINOR","SCHEDULED AIR CARRIER"
"19658","19810712065302I","MINOR","BUSINESS"
"19659","19810713057819I","MINOR","BUSINESS"
"19660","19810716054519I","MINOR","ILLEGAL"
"19661","19810719051949I","MINOR","SCHEDULED AIR CARRIER"
"19662","19810720054829I","MINOR","SCHEDULED AIR CARRIER"
"19663","19810721055459I","MINOR","PERSONAL"
"19664","19810721060719I","MINOR","PERSONAL"
"19665","19810722057079I","MINOR","SCHEDULED AIR CARRIER"
"19666","19810722057719I","MINOR","AIR TAXI"
"19667","19810722061789I","MINOR","SCHEDULED AIR CARRIER"
"19668","19810725054759I","MINOR","SCHEDULED AIR CARRIER"
"19669","19810725056789I","MINOR","SCHEDULED AIR CARRIER"
"19670","19810728070619I","MINOR","PERSONAL"
"19671","19810730061169I","MINOR","SCHEDULED AIR CARRIER"
"19672","19810801062789I","MINOR","PERSONAL"
"19673","19810802053669I","MINOR","PERSONAL"
"19674","19810802067429I","MINOR","PERSONAL"
"19675","19810805057919I","MINOR","PERSONAL"
"19676","19810805070359I","MINOR","BUSINESS"
"19677","19810808061889I","MINOR","PERSONAL"
"19678","19810809063769I","NONE","SCHEDULED AIR CARRIER"
"19679","19810813049159I","MINOR","PERSONAL"
"19680","19810814052049I","MINOR","SCHEDULED AIR CARRIER"
"19681","19810814058959I","MINOR","SCHEDULED AIR CARRIER"
"19682","19810815058239I","MINOR","PERSONAL"
"19683","19810815070119I","MINOR","SCHEDULED AIR CARRIER"
"19684","19810819061659I","MINOR","SCHEDULED AIR CARRIER"
"19685","19810820061509I","MINOR","SCHEDULED AIR CARRIER"
"19686","19810820090189I","MINOR","AIR TAXI"
"19687","19810822070469I","MINOR","SCHEDULED AIR CARRIER"
"19688","19810825060959I","MINOR","SCHEDULED AIR CARRIER"
"19689","19810826060779I","MINOR","SCHEDULED AIR CARRIER"
"19690","19810826060879I","MINOR","SCHEDULED AIR CARRIER"
"19691","19810826066369I","MINOR","SCHEDULED AIR CARRIER"
"19692","19810828066049I","MINOR","PERSONAL"
"19693","19810831064059I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19694","19810902071349I","MINOR","PERSONAL"
"19695","19810906072259I","MINOR","ILLEGAL"
"19696","19810906080099I","MINOR","PERSONAL"
"19697","19810912068529I","SUBSTANTIAL","PERSONAL"
"19698","19810914068369I","MINOR","SCHEDULED AIR CARRIER"
"19699","19810916059199I","MINOR","AIR TAXI"
"19700","19810916065339I","MINOR","SCHEDULED AIR CARRIER"
"19701","19810917060309I","MINOR","PERSONAL"
"19702","19810917066429I","MINOR","PERSONAL"
"19703","19810918067789I","MINOR","SCHEDULED AIR CARRIER"
"19704","19810919060559I","MINOR","ILLEGAL"
"19705","19810919065989I","MINOR","PERSONAL"
"19706","19810919067119I","MINOR","PERSONAL"
"19707","19810922070429I","MINOR","SCHEDULED AIR CARRIER"
"19708","19810923068549I","MINOR","SCHEDULED AIR CARRIER"
"19709","19810923080709I","MINOR","ILLEGAL"
"19710","19810925073489I","MINOR","SCHEDULED AIR CARRIER"
"19711","19810926067689I","MINOR","ILLEGAL"
"19712","19811003073309I","MINOR","SCHEDULED AIR CARRIER"
"19713","19811004072909I","MINOR","SCHEDULED AIR CARRIER"
"19714","19811005072779I","MINOR","SCHEDULED AIR CARRIER"
"19715","19811005072789I","MINOR","SCHEDULED AIR CARRIER"
"19716","19811005073319I","MINOR","SCHEDULED AIR CARRIER"
"19717","19811009073419I","MINOR","SCHEDULED AIR CARRIER"
"19718","19811010081329I","MINOR","SCHEDULED AIR CARRIER"
"19719","19811017085889I","MINOR","ILLEGAL"
"19720","19811018076569I","MINOR","AIR TAXI"
"19721","19811018085199I","MINOR","PERSONAL"
"19722","19811019088619I","MINOR","SCHEDULED AIR CARRIER"
"19723","19811022087079I","MINOR","SCHEDULED AIR CARRIER"
"19724","19811028076459I","MINOR","AIR TAXI"
"19725","19811029080499I","MINOR","PERSONAL"
"19726","19811030075199I","MINOR","PERSONAL"
"19727","19811030082919I","MINOR","ILLEGAL"
"19728","19811031082019I","MINOR","SCHEDULED AIR CARRIER"
"19729","19811105088899I","MINOR","SCHEDULED AIR CARRIER"
"19730","19811108081219I","MINOR","SCHEDULED AIR CARRIER"
"19731","19811112080879I","MINOR","SCHEDULED AIR CARRIER"
"19732","19811114081029I","MINOR","SCHEDULED AIR CARRIER"
"19733","19811114085419I","MINOR","PERSONAL"
"19734","19811116079209I","MINOR","SCHEDULED AIR CARRIER"
"19735","19811116088809I","MINOR","SCHEDULED AIR CARRIER"
"19736","19811117082139I","MINOR","SCHEDULED AIR CARRIER"
"19737","19811118083189I","MINOR","SCHEDULED AIR CARRIER"
"19738","19811118087169I","MINOR","SCHEDULED AIR CARRIER"
"19739","19811120080159I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19740","19811120080209I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19741","19811120080929I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19742","19811122082419I","MINOR","ILLEGAL"
"19743","19811126083899I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19744","19811126089909I","MINOR","PERSONAL"
"19745","19811127086329I","MINOR","PERSONAL"
"19746","19811128085239I","MINOR","PERSONAL"
"19747","19811128085259I","MINOR","PERSONAL"
"19748","19811128088219I","MINOR","PERSONAL"
"19749","19811130088189I","MINOR","PERSONAL"
"19750","19811204083429I","MINOR","SCHEDULED AIR CARRIER"
"19751","19811206083909I","MINOR","SCHEDULED AIR CARRIER"
"19752","19811207087849I","MINOR","PERSONAL"
"19753","19811210088979I","MINOR","SCHEDULED AIR CARRIER"
"19754","19811211084849I","MINOR","ILLEGAL"
"19755","19811212090049I","MINOR","SCHEDULED AIR CARRIER"
"19756","19811213085189I","SUBSTANTIAL","ILLEGAL"
"19757","19811214086799I","MINOR","SCHEDULED AIR CARRIER"
"19758","19811215086849I","MINOR","SCHEDULED AIR CARRIER"
"19759","19811217086919I","MINOR","SCHEDULED AIR CARRIER"
"19760","19811218085819I","MINOR","SCHEDULED AIR CARRIER"
"19761","19811218087479I","MINOR","SCHEDULED AIR CARRIER"
"19762","19811219087799I","MINOR","ILLEGAL"
"19763","19811222087609I","MINOR","SCHEDULED AIR CARRIER"
"19764","19811223098339I","MINOR","PERSONAL"
"19765","19811224087259I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19766","19811224087549I","MINOR","SCHEDULED AIR CARRIER"
"19767","19811225088749I","MINOR","SCHEDULED AIR CARRIER"
"19768","19811228087469I","MINOR","SCHEDULED AIR CARRIER"
"19769","19811229087499I","MINOR","PERSONAL"
"19770","19811230085049I","MINOR","SCHEDULED AIR CARRIER"
"19771","19820103002759I","MINOR","PERSONAL"
"19772","19820104003419I","MINOR","SCHEDULED AIR CARRIER"
"19773","19820108003299I","MINOR","SCHEDULED AIR CARRIER"
"19774","19820108003659I","MINOR","BUSINESS"
"19775","19820111002859I","MINOR","SCHEDULED AIR CARRIER"
"19776","19820114000389I","MINOR","SCHEDULED AIR CARRIER"
"19777","19820118000379I","MINOR","PERSONAL"
"19778","19820118000779I","MINOR","SCHEDULED AIR CARRIER"
"19779","19820121000589I","MINOR","BUSINESS"
"19780","19820122005239I","MINOR","SCHEDULED AIR CARRIER"
"19781","19820128005479I","MINOR","SCHEDULED AIR CARRIER"
"19782","19820128068669I","MINOR","SCHEDULED AIR CARRIER"
"19783","19820129000399I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19784","19820201003639I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19785","19820203005399I","MINOR","SCHEDULED AIR CARRIER"
"19786","19820205001659I","MINOR","PERSONAL"
"19787","19820205002139I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19788","19820206035539I","MINOR","ILLEGAL"
"19789","19820208001709I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19790","19820208002089I","MINOR","AIR TAXI"
"19791","19820208008899I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"19792","19820209002749I","MINOR","AIR TAXI"
"19793","19820211003249I","MINOR","SCHEDULED AIR CARRIER"
"19794","19820211003529I","MINOR","SCHEDULED AIR CARRIER"
"19795","19820211006409I","MINOR","SCHEDULED AIR CARRIER"
"19796","19820214011689I","MINOR","ILLEGAL"
"19797","19820216004899I","MINOR","AIR TAXI"
"19798","19820221069619I","MINOR","SCHEDULED AIR CARRIER"
"19799","19820222004919I","MINOR","SCHEDULED AIR CARRIER"
"19800","19820223065749I","MINOR","PERSONAL"
"19801","19820224005979I","MINOR","SCHEDULED AIR CARRIER"
"19802","19820225005519I","MINOR","SCHEDULED AIR CARRIER"
"19803","19820228005009I","MINOR","SCHEDULED AIR CARRIER"
"19804","19820228008879I","MINOR","SCHEDULED AIR CARRIER"
"19805","19820301014769I","MINOR","PERSONAL"
"19806","19820303005219I","MINOR","SCHEDULED AIR CARRIER"
"19807","19820303006969I","MINOR","SCHEDULED AIR CARRIER"
"19808","19820311012589I","MINOR","AIR TAXI"
"19809","19820315012579I","MINOR","SCHEDULED AIR CARRIER"
"19810","19820318013629I","MINOR","PERSONAL"
"19811","19820323013699I","MINOR","SCHEDULED AIR CARRIER"
"19812","19820324021439I","MINOR","PERSONAL"
"19813","19820325010839I","MINOR","SCHEDULED AIR CARRIER"
"19814","19820327033079I","MINOR","PERSONAL"
"19815","19820404024429I","MINOR","PERSONAL"
"19816","19820407018949I","MINOR","PERSONAL"
"19817","19820407029959I","MINOR","PERSONAL"
"19818","19820409017219I","MINOR","SCHEDULED AIR CARRIER"
"19819","19820411012509I","MINOR","SCHEDULED AIR CARRIER"
"19820","19820414027579I","MINOR","PERSONAL"
"19821","19820416016889I","SUBSTANTIAL","ILLEGAL"
