city1,city2,start,end,carrier_low
"Detroit, MI","Memphis, TN",2013-07-01,2013-10-01,US
"Orlando, FL","Rochester, NY",2008-01-01,2008-04-01,B6
"Orlando, FL","Rochester, NY",2008-04-01,2008-07-01,FL
"Orlando, FL","Rochester, NY",2008-07-01,2008-10-01,DL
"Orlando, FL","Rochester, NY",2008-10-01,2009-01-01,FL
"Orlando, FL","Rochester, NY",2009-01-01,2009-04-01,B6
"Orlando, FL","Rochester, NY",2009-04-01,2010-01-01,FL
"Orlando, FL","Rochester, NY",2010-01-01,2010-04-01,B6
"Orlando, FL","Rochester, NY",2010-04-01,2011-10-01,FL
"Orlando, FL","Rochester, NY",2011-10-01,2012-01-01,B6
"Orlando, FL","Rochester, NY",2012-01-01,2012-10-01,DL
"Orlando, FL","Rochester, NY",2012-10-01,2013-01-01,FL
"Orlando, FL","Rochester, NY",2013-01-01,2013-04-01,DL
"Orlando, FL","Rochester, NY",2013-04-01,2013-10-01,WN
"Orlando, FL","Rochester, NY",2013-10-01,2014-10-01,DL
"Orlando, FL","Rochester, NY",2014-10-01,2015-07-01,WN
"Orlando, FL","Rochester, NY",2015-07-01,2016-04-01,DL
"Orlando, FL","Rochester, NY",2016-04-01,2018-04-01,WN
"Orlando, FL","Rochester, NY",2018-04-01,2018-07-01,DL
"Chicago, IL","Oklahoma City, OK",2008-01-01,2008-10-01,AA
"Chicago, IL","Oklahoma City, OK",2008-10-01,2009-07-01,WN
"Chicago, IL","Oklahoma City, OK",2009-07-01,2009-10-01,AA
"Chicago, IL","Oklahoma City, OK",2009-10-01,2010-01-01,WN
"Chicago, IL","Oklahoma City, OK",2010-01-01,2010-07-01,AA
"Chicago, IL","Oklahoma City, OK",2010-07-01,2010-10-01,WN
"Chicago, IL","Oklahoma City, OK",2010-10-01,2012-04-01,AA
"Chicago, IL","Oklahoma City, OK",2012-04-01,2013-10-01,WN
"Chicago, IL","Oklahoma City, OK",2013-10-01,2014-04-01,FL
"Chicago, IL","Oklahoma City, OK",2014-04-01,2018-07-01,WN
"Atlantic City, NJ","Fort Myers, FL",2008-01-01,2012-07-01,NK
"Atlantic City, NJ","Fort Myers, FL",2012-10-01,2017-07-01,NK
"Albuquerque, NM","Phoenix, AZ",2008-01-01,2009-01-01,WN
"Albuquerque, NM","Phoenix, AZ",2009-01-01,2009-10-01,US
"Albuquerque, NM","Phoenix, AZ",2009-10-01,2010-10-01,WN
"Albuquerque, NM","Phoenix, AZ",2010-10-01,2012-04-01,US
"Albuquerque, NM","Phoenix, AZ",2012-04-01,2012-10-01,WN
"Albuquerque, NM","Phoenix, AZ",2012-10-01,2014-04-01,US
"Albuquerque, NM","Phoenix, AZ",2014-04-01,2014-07-01,WN
"Albuquerque, NM","Phoenix, AZ",2014-07-01,2015-07-01,US
"Albuquerque, NM","Phoenix, AZ",2015-07-01,2016-01-01,WN
"Albuquerque, NM","Phoenix, AZ",2016-01-01,2016-04-01,AA
"Albuquerque, NM","Phoenix, AZ",2016-04-01,2018-07-01,WN
"Chicago, IL","Sarasota/Bradenton, FL",2008-01-01,2008-04-01,U5
"Chicago, IL","Sarasota/Bradenton, FL",2008-04-01,2008-07-01,FL
"Chicago, IL","Sarasota/Bradenton, FL",2008-07-01,2008-10-01,DL
"Chicago, IL","Sarasota/Bradenton, FL",2008-10-01,2009-01-01,AA
"Chicago, IL","Sarasota/Bradenton, FL",2009-01-01,2011-04-01,FL
"Chicago, IL","Sarasota/Bradenton, FL",2011-04-01,2011-07-01,DL
"Chicago, IL","Sarasota/Bradenton, FL",2011-07-01,2012-07-01,FL
"Chicago, IL","Sarasota/Bradenton, FL",2012-07-01,2013-01-01,DL
"Chicago, IL","Sarasota/Bradenton, FL",2013-01-01,2013-07-01,UA
"Chicago, IL","Sarasota/Bradenton, FL",2013-10-01,2014-07-01,UA
"Chicago, IL","Sarasota/Bradenton, FL",2014-10-01,2015-04-01,UA
"Chicago, IL","Sarasota/Bradenton, FL",2015-10-01,2016-01-01,DL
